pl|g|ex_pl|tr|ex_tr
pralka|zenski|Pralka jest w łazience.|çamaşır makinesi|Çamaşır makinesi banyoda.
suszarka|zenski|Suszarka do ubrań jest na balkonie.|kurutma makinesi|Kurutma makinesi balkonda.
odkurzacz|meski|Odkurzacz sprząta dywany i podłogi.|elektrik süpürgesi|Elektrik süpürgesi halı ve zeminleri temizliyor.
klimatyzacja|zenski|Klimatyzacja chłodzi pokój latem.|klima|Klima yazın odayı serinletiyor.
grzejnik|meski|Grzejnik ogrzewa pokój zimą.|radyatör|Radyatör kışın odayı ısıtıyor.
wentylator|meski|Wentylator stoi na biurku.|fan|Fan masanın üzerinde duruyor.
telewizor|meski|Telewizor wisi na ścianie.|televizyon|Televizyon duvara asılı.
głośnik|meski|Głośnik bluetooth gra muzykę.|hoparlör|Bluetooth hoparlör müzik çalıyor.
router|meski|Router zapewnia internet w całym domu.|yönlendirici|Yönlendirici tüm evde internet sağlıyor.
obraz|meski|Obraz wisi nad kanapą.|tablo|Tablo kanepenin üzerinde asılı.
roślina doniczkowa|zenski|Roślina doniczkowa stoi przy oknie.|saksı bitkisi|Saksı bitkisi pencerenin yanında.
świeca|zenski|Świeca pachnie lawendą.|mum|Mum lavanta kokuyor.
