pl|g|ex_pl|tr|ex_tr
rada|zenski|Daj mi radę, co mam zrobić.|tavsiye, öneri|Bana ne yapacağım konusunda tavsiye ver.
rodzic|meski|Każdy rodzic chce dla dziecka jak najlepiej.|ebeveyn|Her ebeveyn çocuğu için en iyisini ister.
pielęgniarka|zenski|Pielęgniarka zmierzyła mi ciśnienie.|hemşire|Hemşire kan basıncımı ölçtü.
rozmiar|meski|Jaki jest twój rozmiar butów?|beden, boyut|Ayakkabı bedeniniz ne?
sąsiad|meski|Mój sąsiad gra głośno muzykę w nocy.|komşu|Komşum gece yüksek sesle müzik çalıyor.
tytuł|meski|Jaki jest tytuł tej książki?|başlık, unvan|Bu kitabın başlığı ne?
koniec|meski|Koniec semestru jest w czerwcu.|son, bitiş|Sömestr sonu Haziran'da.
rola|zenski|Grał główną rolę w tym filmie.|rol|Bu filmde başrol oynadı.
miesiąc|meski|Za miesiąc jadę do Warszawy.|ay|Bir ay sonra Varşova'ya gidiyorum.
życie|nijaki|Życie jest pełne niespodzianek.|hayat, yaşam|Hayat sürprizlerle dolu.
noc|zenski|W tę noc nie mogłam spać.|gece|Bu gece uyuyamadım.
rano|nijaki|Wstaję wcześnie rano.|sabah|Sabah erken kalkıyorum.
godzina|zenski|Spotkanie trwało dwie godziny.|saat|Toplantı iki saat sürdü.
zmęczenie|nijaki|Czuję ogromne zmęczenie po pracy.|yorgunluk|İşten sonra büyük bir yorgunluk hissediyorum.
powrót|meski|Cieszę się na powrót do domu.|dönüş|Eve dönüşü dört gözle bekliyorum.
spacer|meski|Codziennie chodzę na spacer po parku.|yürüyüş|Her gün parkta yürüyüş yapıyorum.
maluch|meski|Ten maluch już zaczyna chodzić.|bebek, küçük çocuk|Bu bebek yürümeye başlıyor.
chwila|zenski|Poczekaj chwilę, zaraz wracam.|an, kısa süre|Bir an bekle, hemen dönüyorum.
spokój|meski|Szukam spokoju po ciężkim dniu.|huzur, sakinlik|Yorucu bir günün ardından huzur arıyorum.
ukochana|zenski|Napisał list do swojej ukochanej.|sevgili (kadın)|Sevgilisine mektup yazdı.
tenisistka|zenski|Ta tenisistka wygrała turniej.|tenisçi (kadın)|Bu tenisçi turnuvayı kazandı.
rywalka|zenski|Jej rywalka grała bardzo dobrze.|rakip (kadın)|Rakibi çok iyi oynadı.
turniej|meski|Wygrała ważny turniej w tym roku.|turnuva|Bu yıl önemli bir turnuva kazandı.
powód|meski|Jaki jest powód twojej nieobecności?|neden, sebep|Devamsızlığının nedeni ne?
zwycięstwo|nijaki|To zwycięstwo było bardzo ważne dla drużyny.|zafer, galibiyet|Bu zafer takım için çok önemliydi.
październik|meski|W październiku liście zmieniają kolor.|ekim (ay)|Ekim'de yapraklar renk değiştirir.
badanie|nijaki|Mam jutro badanie krwi.|muayene, araştırma|Yarın kan tahlilim var.
emocje|cogul|Trudno kontrolować emocje w stresie.|duygular|Stres altında duyguları kontrol etmek zor.
zdrowie|nijaki|Zdrowie jest najważniejsze w życiu.|sağlık|Sağlık hayatta en önemli şey.
psychika|zenski|Sport pozytywnie wpływa na psychikę.|ruh hali, psikoloji|Spor ruh haline olumlu etki eder.
rodzeństwo|nijaki|Mam troje rodzeństwa.|kardeşler|Üç kardeşim var.
różnica|zenski|Jaka jest różnica między tymi dwoma słowami?|fark|Bu iki kelime arasındaki fark nedir?
wiek|meski|W jakim wieku nauczyłeś się czytać?|yaş, çağ|Okumayı hangi yaşta öğrendin?
stan|meski|Jaki jest stan twojego zdrowia?|durum, hal|Sağlık durumun nasıl?
ludzie|cogul|Ludzie na całym świecie mówią różnymi językami.|insanlar|Dünyanın dört bir yanındaki insanlar farklı diller konuşur.
zmiana|zenski|Zmiana klimatu to poważny problem.|değişim|İklim değişimi ciddi bir sorun.
skutek|meski|To lekarstwo nie dało żadnego skutku.|sonuç, etki|Bu ilaç hiçbir sonuç vermedi.
ocieplenie|nijaki|Ocieplenie klimatu wpływa na całą planetę.|ısınma|İklim ısınması tüm gezegeni etkiliyor.
styczeń|meski|W styczniu jest bardzo zimno w Polsce.|ocak|Polonya'da Ocak'ta çok soğuk olur.
luty|meski|Luty to najkrótszy miesiąc w roku.|şubat|Şubat yılın en kısa ayıdır.
marzec|meski|W marcu zaczyna się wiosna.|mart|Mart'ta ilkbahar başlar.
kwiecień|meski|W kwietniu kwitną tulipany.|nisan|Nisan'da lâleler çiçek açar.
maj|meski|Maj to piękny miesiąc, jest ciepło.|mayıs|Mayıs güzel bir ay, hava sıcak.
czerwiec|meski|W czerwcu kończą się zajęcia w szkole.|haziran|Haziran'da okul dersleri biter.
lipiec|meski|Lipiec jest najcieplejszym miesiącem w roku.|temmuz|Temmuz yılın en sıcak ayıdır.
sierpień|meski|W sierpniu jedziemy na wakacje.|ağustos|Ağustos'ta tatile gidiyoruz.
wrzesień|meski|W wrześniu dzieci wracają do szkoły.|eylül|Eylül'de çocuklar okula geri döner.
listopad|meski|Listopad to szary i deszczowy miesiąc.|kasım|Kasım gri ve yağmurlu bir aydır.
grudzień|meski|W grudniu pada dużo śniegu.|aralık|Aralık'ta çok kar yağar.
wiosna|zenski|Wiosna to moja ulubiona pora roku.|ilkbahar|İlkbahar en sevdiğim mevsim.
lato|nijaki|Latem jeździmy nad morze.|yaz|Yazın denize gidiyoruz.
jesień|zenski|Jesień w Polsce jest piękna i kolorowa.|sonbahar|Polonya'da sonbahar güzel ve renklidir.
zima|zenski|Zima w Warszawie bywa bardzo mroźna.|kış|Varşova'da kış çok soğuk olabiliyor.
zaczynać|fiil|Zaczynam naukę polskiego od początku.|başlamak|Lehçe öğrenmeye baştan başlıyorum.
opiekować się|fiil|Ona opiekuje się starszymi rodzicami.|bakmak, ilgilenmek|O yaşlı anne-babasına bakıyor.
zajmować się|fiil|Czym się zajmujesz w wolnym czasie?|uğraşmak, ilgilenmek|Boş zamanında ne ile uğraşırsın?
zapominać|fiil|Często zapominam słówek po polsku.|unutmak|Lehçe kelimeleri sık sık unutuyorum.
krótki|sıfat|To jest krótki tekst, łatwy do przeczytania.|kısa|Bu okumak için kolay kısa bir metin.
niski|sıfat|Ten budynek jest bardzo niski.|alçak, kısa (boy)|Bu bina çok alçak.
wysoki|sıfat|On jest bardzo wysoki, ma dwa metry.|yüksek, uzun (boy)|O çok uzun boylu, iki metre.
długi|sıfat|Mieliśmy długą rozmowę przy kawie.|uzun|Kahve başında uzun bir sohbet ettik.
brzeg|meski|Siedzieliśmy na brzegu morza.|kıyı, kenar|Deniz kıyısında oturduk.
pamięć|zenski|Mam dobrą pamięć do języków.|hafıza, bellek|Diller için iyi bir hafızam var.
rzeczy|cogul|Spakuj swoje rzeczy, wyjeżdżamy jutro.|şeyler, eşyalar|Eşyalarını topla, yarın yola çıkıyoruz.
zawsze|zarf|Zawsze piję kawę rano.|her zaman|Sabahları her zaman kahve içerim.
zwykle|zarf|Zwykle chodzę spać o dziesiątej.|genellikle|Genellikle saat onda uyurum.
często|zarf|Często jeżdżę do Warszawy w pracy.|sık sık|İş için sık sık Varşova'ya gidiyorum.
rzadko|zarf|Rzadko oglądam telewizję.|nadiren|Televizyon nadiren izlerim.
nigdy|zarf|Nigdy nie zapominam o ważnych spotkaniach.|hiçbir zaman|Önemli toplantıları hiçbir zaman unutmam.
trudny|sıfat|Ten egzamin był bardzo trudny.|zor|Bu sınav çok zordu.
łatwy|sıfat|To ćwiczenie jest łatwe dla mnie.|kolay|Bu alıştırma benim için kolay.
brudny|sıfat|Te buty są bardzo brudne.|kirli|Bu ayakkabılar çok kirli.
czysty|sıfat|Pranie jest czyste i świeże.|temiz|Çamaşırlar temiz ve taze.
Polska|zenski|Polska leży w sercu Europy.|Polonya|Polonya, Avrupa'nın kalbinde yer alır.
opad|meski|Prognoza zapowiada opady deszczu przez cały tydzień.|yağış|Tahmin tüm hafta boyunca yağmur yağışını bildiriyor.
deszcz|meski|Pada deszcz, weź ze sobą parasolkę.|yağmur|Yağmur yağıyor, şemsiyeni yanına al.
upał|meski|W tym roku lato przyniosło wielki upał.|sıcak hava, kavurucu sıcak|Bu yıl yaz büyük bir sıcak hava getirdi.
cena|zenski|Cena tego mieszkania jest bardzo wysoka.|fiyat|Bu dairenin fiyatı çok yüksek.
żywność|zenski|Ceny żywności wzrosły w ostatnim roku.|gıda, yiyecek|Geçen yıl gıda fiyatları arttı.
środowisko|nijaki|Musimy chronić środowisko naturalne dla przyszłych pokoleń.|çevre|Gelecek nesiller için doğal çevreyi korumalıyız.
park|meski|Codziennie chodzę na spacer do pobliskiego parku.|park|Her gün yakındaki parka yürüyüşe gidiyorum.
legenda|zenski|Legenda o Smoku Wawelskim jest znana w całej Polsce.|efsane|Vavel Ejderi efsanesi tüm Polonya'da bilinir.
wycieczka|zenski|Zorganizowaliśmy wycieczkę szkolną do Krakowa.|gezi, tur|Krakov'a bir okul gezisi düzenledik.
szkoła|zenski|Moja córka chodzi do szkoły podstawowej.|okul|Kızım ilkokula gidiyor.
technika|zenski|Nowoczesna technika zmienia nasze życie codzienne.|teknik|Modern teknoloji günlük hayatımızı değiştiriyor.
wydarzenie|nijaki|To wydarzenie kulturalne przyciągnęło tysiące ludzi.|etkinlik, olay|Bu kültürel etkinlik binlerce insanı çekti.
atrakcja|zenski|Główną atrakcją miasta jest stary zamek.|cazibe, ilgi çekici yer|Şehrin ana cazibesi eski kaledir.
przeszłość|zenski|Nie można żyć tylko przeszłością, trzeba patrzeć w przyszłość.|geçmiş|Sadece geçmişte yaşanmaz, geleceğe bakmak gerekir.
sposób|meski|Znalazłem nowy sposób na naukę słówek.|yol, yöntem|Kelime öğrenmek için yeni bir yöntem buldum.
aplikacja|zenski|Ta aplikacja pomaga mi uczyć się polskiego.|uygulama|Bu uygulama Lehçe öğrenmeme yardımcı oluyor.
rozwiązanie|nijaki|Znaleźliśmy dobre rozwiązanie tego problemu.|çözüm|Bu sorun için iyi bir çözüm bulduk.
cel|meski|Moim celem jest zdanie egzaminu B2 w tym roku.|amaç, hedef|Bu yılki hedefim B2 sınavını geçmek.
dane|cogul|Dane osobowe są chronione przez prawo.|veriler|Kişisel veriler yasa tarafından korunmaktadır.
płeć|zenski|Formularz wymaga podania imienia, nazwiska i płci.|cinsiyet|Form ad, soyad ve cinsiyet bilgisi gerektiriyor.
wzrost|meski|Mój wzrost to metr osiemdziesiąt pięć.|boy, büyüme|Boyum bir metre seksen beş.
waga|zenski|Lekarz sprawdził moją wagę i ciśnienie.|ağırlık, kilo|Doktor kilomu ve tansiyonumu kontrol etti.
urodzenie|nijaki|Data urodzenia jest potrzebna do wypełnienia formularza.|doğum|Doğum tarihi formu doldurmak için gereklidir.
żywienie|nijaki|Zdrowe żywienie jest podstawą dobrego samopoczucia.|beslenme|Sağlıklı beslenme iyi hissetmenin temelidir.
ilość|zenski|Proszę podać ilość osób na rezerwację.|miktar|Rezervasyon için kişi sayısını belirtiniz.
wysiłek|meski|Nauka języka wymaga dużego wysiłku i cierpliwości.|çaba, efor|Dil öğrenmek büyük çaba ve sabır gerektirir.
kondycja|zenski|Muszę poprawić swoją kondycję fizyczną.|kondisyon, durum|Fiziksel kondisyonumu geliştirmem gerekiyor.
iść|fiil|Idę do sklepu.|gitmek (yürüyerek)|Markete gidiyorum.
jechać|fiil|Jadę do Warszawy pociągiem.|gitmek (araçla)|Varşova'ya trenle gidiyorum.
przychodzić|fiil|Przychodzę do pracy o ósmej.|gelmek|İşe saat sekizde geliyorum.
przyjeżdżać|fiil|Przyjeżdżam z Turcji.|gelmek (araçla)|Türkiye'den geliyorum.
otwierać|fiil|Otwieram okno, bo jest gorąco.|açmak|Sıcak olduğu için pencereyi açıyorum.
zamykać|fiil|Zamykam drzwi na klucz.|kapamak|Kapıyı anahtarla kapatıyorum.
czytać|fiil|Czytam książkę przed snem.|okumak|Uyumadan önce kitap okuyorum.
pisać|fiil|Piszę wiadomość do przyjaciela.|yazmak|Arkadaşıma mesaj yazıyorum.
słuchać|fiil|Słucham muzyki w drodze do pracy.|dinlemek|İşe giderken müzik dinliyorum.
rozmawiać|fiil|Rozmawiamy o projekcie.|konuşmak|Proje hakkında konuşuyoruz.
mówić|fiil|Mówię po polsku trochę.|söylemek|Biraz Lehçe konuşuyorum.
robić|fiil|Co robisz w weekend?|yapmak, etmek|Haftasonu ne yapıyorsun?
być|fiil|Jestem zmęczony po pracy.|olmak|İşten sonra yorgunum.
chcieć|fiil|Chcę nauczyć się polskiego.|istemek|Lehçe öğrenmek istiyorum.
wiedzieć|fiil|Wiem, gdzie jest dworzec.|bilmek (bilgi)|İstasyonun nerede olduğunu biliyorum.
umieć|fiil|Umiem mówić po angielsku.|bilmek (beceri)|İngilizce konuşmasını biliyorum.
widzieć|fiil|Widzę piękny widok z okna.|görmek|Pencereden güzel bir manzara görüyorum.
patrzeć|fiil|Patrzę na ekran komputera.|bakmak|Bilgisayar ekranına bakıyorum.
oglądać|fiil|Oglądam film wieczorem.|izlemek, seyretmek|Akşam film seyrediyorum.
brać|fiil|Biorę parasolkę, bo pada.|almak (elde etmek)|Yağmur yağdığı için şemsiye alıyorum.
kupować|fiil|Kupuję bilety online.|satın almak|Biletleri çevrimiçi satın alıyorum.
dawać|fiil|Daję ci moją wizytówkę.|vermek|Sana kartvizitimi veriyorum.
jeść|fiil|Jem śniadanie o siódmej.|yemek (yemek yemek)|Saat yedide kahvaltı ediyorum.
pić|fiil|Piję kawę każdego ranka.|içmek|Her sabah kahve içiyorum.
spać|fiil|Śpię osiem godzin dziennie.|uyumak|Günde sekiz saat uyuyorum.
wstawać|fiil|Wstaję o szóstej rano.|kalkmak|Sabah altıda kalkıyorum.
siedzieć|fiil|Siedzę przy biurku cały dzień.|oturmak|Bütün gün masada oturuyorum.
wracać|fiil|Wracam do domu o osiemnastej.|dönmek|Saat on sekizde eve dönüyorum.
dzwonić|fiil|Dzwonię do ciebie jutro.|aramak (telefon)|Yarın seni arıyorum.
czekać|fiil|Czekam na autobus już pół godziny.|beklemek|Otobüsü yarım saattir bekliyorum.
rozumieć|fiil|Nie rozumiem tego zdania.|anlamak|Bu cümleyi anlamıyorum.
myśleć|fiil|Myślę, że to dobry pomysł.|düşünmek|Bence bu iyi bir fikir.
kochać|fiil|Kocham swoją rodzinę.|sevmek (aşkla)|Ailemi seviyorum.
lubić|fiil|Lubię polską kuchnię.|sevmek (beğenmek)|Lehçe mutfağını seviyorum.
pracować|fiil|Pracuję w firmie budowlanej.|çalışmak (işte)|İnşaat şirketinde çalışıyorum.
uczyć się|fiil|Uczę się polskiego każdego dnia.|öğrenmek|Her gün Lehçe öğreniyorum.
płacić|fiil|Płacę kartą kredytową.|ödemek|Kredi kartıyla ödüyorum.
pomagać|fiil|Pomagam kolegom w pracy.|yardım etmek|İş arkadaşlarıma yardım ediyorum.
zaczynać|fiil|Zaczynam pracę o dziewiątej.|başlamak|İşe saat dokuzda başlıyorum.
kończyć|fiil|Kończę spotkanie o południu.|bitirmek|Toplantıyı öğleyin bitiriyorum.
wchodzić|fiil|Wchodzę do biura z kartą.|girmek|Ofise kartla giriyorum.
wychodzić|fiil|Wychodzę z domu o siódmej.|çıkmak|Evden saat yedide çıkıyorum.
poznanie|nijaki|Poznanie języka wymaga czasu.|tanıma, öğrenme|Bir dili öğrenmek zaman alır.
znajomi|cogul|Mam wielu znajomych w Warszawie.|tanıdıklar|Varşova'da pek çok tanıdığım var.
moment|meski|Poczekaj chwilę, za moment wracam.|an|Bekle, bir an içinde dönüyorum.
kąpiel|zenski|Biorę kąpiel po długim dniu.|banyo|Uzun bir günün ardından banyo yapıyorum.
muzyka|zenski|Słucham muzyki klasycznej.|müzik|Klasik müzik dinliyorum.
satysfakcja|zenski|Praca daje mi dużo satysfakcji.|tatmin, memnuniyet|İş bana çok tatmin veriyor.
wyszukiwarka|zenski|Używam wyszukiwarki do znalezienia informacji.|arama motoru|Bilgi bulmak için arama motoru kullanıyorum.
potrawa|zenski|To tradycyjna polska potrawa.|yemek, yiyecek|Bu geleneksel bir Lehçe yemeği.
ochota|zenski|Mam ochotę na kawę.|istek, arzu|Kahve içmek istiyorum.
produkt|meski|Ten produkt jest wysokiej jakości.|ürün|Bu ürün yüksek kaliteli.
informacja|zenski|Potrzebuję więcej informacji.|bilgi|Daha fazla bilgiye ihtiyacım var.
skaner|meski|Używam skanera do dokumentów.|tarayıcı|Belgeler için tarayıcı kullanıyorum.
kod|meski|Wpisuję kod dostępu.|kod|Erişim kodunu giriyorum.
zdjęcie|nijaki|Robię zdjęcie na pamiątkę.|fotoğraf|Hatıra fotoğrafı çekiyorum.
aktywność|zenski|Aktywność fizyczna jest ważna dla zdrowia.|aktivite, etkinlik|Fiziksel aktivite sağlık için önemlidir.
ćwiczenia|cogul|Robię ćwiczenia każdego ranka.|egzersizler|Her sabah egzersiz yapıyorum.
baza|zenski|Mamy dużą bazę danych klientów.|temel, veri tabanı|Büyük bir müşteri veri tabanımız var.
opcja|zenski|Jest kilka opcji do wyboru.|seçenek|Seçmek için birkaç seçenek var.
prędkość|zenski|Prędkość internetu jest bardzo dobra.|hız|İnternet hızı çok iyi.
intensywność|zenski|Intensywność treningu wzrosła.|yoğunluk|Antrenmanın yoğunluğu arttı.
obsługa|zenski|Obsługa klienta jest na wysokim poziomie.|hizmet, kullanım|Müşteri hizmeti yüksek düzeyde.
ekran|meski|Ekran komputera jest zbyt jasny.|ekran|Bilgisayar ekranı çok parlak.
reklama|zenski|Ta reklama jest bardzo kreatywna.|reklam|Bu reklam çok yaratıcı.
funkcja|zenski|Ta funkcja ułatwia pracę.|işlev, fonksiyon|Bu işlev çalışmayı kolaylaştırıyor.
konto|nijaki|Zakładam nowe konto bankowe.|hesap|Yeni bir banka hesabı açıyorum.
robot|meski|Robot wykonuje powtarzalne zadania.|robot|Robot tekrarlayan görevleri yerine getirir.
technologia|zenski|Technologia zmienia nasz świat.|teknoloji|Teknoloji dünyamızı değiştiriyor.
inteligencja|zenski|Inteligencja emocjonalna jest kluczowa.|zeka|Duygusal zeka çok önemlidir.
pracownik|meski|Nowy pracownik zaczyna w poniedziałek.|çalışan, işçi|Yeni çalışan Pazartesi başlıyor.
urlop|meski|Idę na urlop w sierpniu.|izin, tatil|Ağustos'ta tatile gidiyorum.
tajemnica|zenski|To jest tajemnica firmy.|sır, gizem|Bu şirketin sırrıdır.
pamięć|zenski|Mam dobrą pamięć do liczb.|hafıza, bellek|Sayılar için iyi bir hafızam var.
sprawdzian|meski|Jutro mam sprawdzian z języka.|sınav, test|Yarın dil sınavım var.
test|meski|Zdałem test na prawo jazdy.|test|Ehliyet testini geçtim.
problem|meski|Mamy problem z dostawą.|sorun|Teslimatla ilgili bir sorunumuz var.
człowiek|meski|Każdy człowiek popełnia błędy.|insan|Her insan hata yapar.
kontakt|meski|Jestem w stałym kontakcie z klientem.|iletişim, temas|Müşteriyle sürekli iletişim halindeyim.
motywacja|zenski|Motywacja zespołu jest bardzo wysoka.|motivasyon|Takımın motivasyonu çok yüksek.
nauka|zenski|Nauka języków otwiera drzwi.|bilim, öğrenme|Dil öğrenmek kapılar açar.
element|meski|To ważny element projektu.|unsur, öğe|Bu projenin önemli bir unsurudur.
młodzież|zenski|Młodzież jest przyszłością kraju.|gençlik, gençler|Gençlik ülkenin geleceğidir.
zaleta|zenski|Główną zaletą jest niska cena.|avantaj, üstünlük|Temel avantaj düşük fiyattır.
korzyść|zenski|Jakie są korzyści z tego rozwiązania?|fayda, kazanım|Bu çözümün faydaları nelerdir?
meble|cogul|Kupujemy nowe meble do biura.|mobilya|Ofise yeni mobilya satın alıyoruz.
klient|meski|Klient zawsze ma rację.|müşteri|Müşteri her zaman haklıdır.
jakość|zenski|Jakość produktu jest bardzo dobra.|kalite|Ürünün kalitesi çok iyi.
wygląd|meski|Wygląd aplikacji jest nowoczesny.|görünüm|Uygulamanın görünümü modern.
lider|meski|Ona jest naturalnym liderem zespołu.|lider|O, ekibin doğal lideridir.
rynek|meski|Wchodzimy na nowy rynek.|pazar|Yeni bir pazara giriyoruz.
producent|meski|Producent gwarantuje jakość.|üretici|Üretici kaliteyi garanti eder.
porada|zenski|Potrzebuję porady prawnej.|tavsiye|Hukuki tavsiyeye ihtiyacım var.
kierownik|meski|Kierownik zatwierdził budżet.|yönetici|Yönetici bütçeyi onayladı.
dziedzina|zenski|Specjalizuję się w tej dziedzinie.|alan, saha|Bu alanda uzmanlaşıyorum.
opinia|zenski|Chciałbym poznać pańską opinię.|görüş, fikir|Görüşünüzü öğrenmek isterim.
temat|meski|Temat spotkania to nowy projekt.|konu|Toplantının konusu yeni proje.
współpraca|zenski|Współpraca między działami jest kluczowa.|işbirliği|Departmanlar arası işbirliği çok önemli.
szef|meski|Szef zatwierdził mój wniosek.|patron, amir|Amiri başvurumu onayladı.
kariera|zenski|Buduję swoją karierę od podstaw.|kariyer|Kariyerimi sıfırdan inşa ediyorum.
projekt|meski|Projekt zakończy się w marcu.|proje|Proje Mart'ta tamamlanacak.
ekspert|meski|Zaproszono eksperta z Niemiec.|uzman|Almanya'dan bir uzman davet edildi.
zespół|meski|Nasz zespół liczy dwadzieścia osób.|takım, ekip|Ekibimiz yirmi kişiden oluşuyor.
menadżer|meski|Menadżer organizuje pracę zespołu.|yönetici|Yönetici ekibin çalışmasını organize eder.
stanowisko|nijaki|Ubiegam się o stanowisko kierownika.|pozisyon, görev|Müdür pozisyonuna başvuruyorum.
odpowiedzialność|zenski|Biorę odpowiedzialność za ten błąd.|sorumluluk|Bu hata için sorumluluğu üstleniyorum.
awans|meski|Dostałem awans po dwóch latach.|terfi|İki yıl sonra terfi aldım.
strona|zenski|Otwieram nową stronę internetową.|sayfa, taraf|Yeni bir web sayfası açıyorum.
obowiązek|meski|Mam wiele obowiązków w pracy.|yükümlülük, görev|İşte çok sayıda görevim var.
koncentracja|zenski|Koncentracja jest kluczowa podczas negocjacji.|konsantrasyon|Müzakerelerde konsantrasyon çok önemlidir.
konflikt|meski|Rozwiązujemy konflikt w zespole.|çatışma, anlaşmazlık|Ekipteki çatışmayı çözüyoruz.
