pl|g|ex_pl|tr|ex_tr
rada|zenski|Daj mi radę, co mam zrobić.|tavsiye, öneri|Bana ne yapacağım konusunda tavsiye ver.
rodzic|meski|Każdy rodzic chce dla dziecka jak najlepiej.|ebeveyn|Her ebeveyn çocuğu için en iyisini ister.
pielęgniarka|zenski|Pielęgniarka zmierzyła mi ciśnienie.|hemşire|Hemşire kan basıncımı ölçtü.
rozmiar|meski|Jaki jest twój rozmiar butów?|beden, boyut|Ayakkabı bedeniniz ne?
sąsiad|meski|Mój sąsiad gra głośno muzykę w nocy.|komşu|Komşum gece yüksek sesle müzik çalıyor.
tytuł|meski|Jaki jest tytuł tej książki?|başlık, unvan|Bu kitabın başlığı ne?
koniec|meski|Koniec semestru jest w czerwcu.|son, bitiş|Sömestr sonu Haziran'da.
rola|zenski|Grał główną rolę w tym filmie.|rol|Bu filmde başrol oynadı.
miesiąc|meski|Za miesiąc jadę do Warszawy.|ay|Bir ay sonra Varşova'ya gidiyorum.
życie|nijaki|Życie jest pełne niespodzianek.|hayat, yaşam|Hayat sürprizlerle dolu.
noc|zenski|W tę noc nie mogłam spać.|gece|Bu gece uyuyamadım.
rano|nijaki|Wstaję wcześnie rano.|sabah|Sabah erken kalkıyorum.
godzina|zenski|Spotkanie trwało dwie godziny.|saat|Toplantı iki saat sürdü.
zmęczenie|nijaki|Czuję ogromne zmęczenie po pracy.|yorgunluk|İşten sonra büyük bir yorgunluk hissediyorum.
powrót|meski|Cieszę się na powrót do domu.|dönüş|Eve dönüşü dört gözle bekliyorum.
spacer|meski|Codziennie chodzę na spacer po parku.|yürüyüş|Her gün parkta yürüyüş yapıyorum.
maluch|meski|Ten maluch już zaczyna chodzić.|bebek, küçük çocuk|Bu bebek yürümeye başlıyor.
chwila|zenski|Poczekaj chwilę, zaraz wracam.|an, kısa süre|Bir an bekle, hemen dönüyorum.
spokój|meski|Szukam spokoju po ciężkim dniu.|huzur, sakinlik|Yorucu bir günün ardından huzur arıyorum.
ukochana|zenski|Napisał list do swojej ukochanej.|sevgili (kadın)|Sevgilisine mektup yazdı.
tenisistka|zenski|Ta tenisistka wygrała turniej.|tenisçi (kadın)|Bu tenisçi turnuvayı kazandı.
rywalka|zenski|Jej rywalka grała bardzo dobrze.|rakip (kadın)|Rakibi çok iyi oynadı.
turniej|meski|Wygrała ważny turniej w tym roku.|turnuva|Bu yıl önemli bir turnuva kazandı.
powód|meski|Jaki jest powód twojej nieobecności?|neden, sebep|Devamsızlığının nedeni ne?
zwycięstwo|nijaki|To zwycięstwo było bardzo ważne dla drużyny.|zafer, galibiyet|Bu zafer takım için çok önemliydi.
październik|meski|W październiku liście zmieniają kolor.|ekim (ay)|Ekim'de yapraklar renk değiştirir.
badanie|nijaki|Mam jutro badanie krwi.|muayene, araştırma|Yarın kan tahlilim var.
emocje|cogul|Trudno kontrolować emocje w stresie.|duygular|Stres altında duyguları kontrol etmek zor.
zdrowie|nijaki|Zdrowie jest najważniejsze w życiu.|sağlık|Sağlık hayatta en önemli şey.
psychika|zenski|Sport pozytywnie wpływa na psychikę.|ruh hali, psikoloji|Spor ruh haline olumlu etki eder.
rodzeństwo|nijaki|Mam troje rodzeństwa.|kardeşler|Üç kardeşim var.
różnica|zenski|Jaka jest różnica między tymi dwoma słowami?|fark|Bu iki kelime arasındaki fark nedir?
wiek|meski|W jakim wieku nauczyłeś się czytać?|yaş, çağ|Okumayı hangi yaşta öğrendin?
stan|meski|Jaki jest stan twojego zdrowia?|durum, hal|Sağlık durumun nasıl?
ludzie|cogul|Ludzie na całym świecie mówią różnymi językami.|insanlar|Dünyanın dört bir yanındaki insanlar farklı diller konuşur.
zmiana|zenski|Zmiana klimatu to poważny problem.|değişim|İklim değişimi ciddi bir sorun.
skutek|meski|To lekarstwo nie dało żadnego skutku.|sonuç, etki|Bu ilaç hiçbir sonuç vermedi.
ocieplenie|nijaki|Ocieplenie klimatu wpływa na całą planetę.|ısınma|İklim ısınması tüm gezegeni etkiliyor.
styczeń|meski|W styczniu jest bardzo zimno w Polsce.|ocak|Polonya'da Ocak'ta çok soğuk olur.
luty|meski|Luty to najkrótszy miesiąc w roku.|şubat|Şubat yılın en kısa ayıdır.
marzec|meski|W marcu zaczyna się wiosna.|mart|Mart'ta ilkbahar başlar.
kwiecień|meski|W kwietniu kwitną tulipany.|nisan|Nisan'da lâleler çiçek açar.
maj|meski|Maj to piękny miesiąc, jest ciepło.|mayıs|Mayıs güzel bir ay, hava sıcak.
czerwiec|meski|W czerwcu kończą się zajęcia w szkole.|haziran|Haziran'da okul dersleri biter.
lipiec|meski|Lipiec jest najcieplejszym miesiącem w roku.|temmuz|Temmuz yılın en sıcak ayıdır.
sierpień|meski|W sierpniu jedziemy na wakacje.|ağustos|Ağustos'ta tatile gidiyoruz.
wrzesień|meski|W wrześniu dzieci wracają do szkoły.|eylül|Eylül'de çocuklar okula geri döner.
listopad|meski|Listopad to szary i deszczowy miesiąc.|kasım|Kasım gri ve yağmurlu bir aydır.
grudzień|meski|W grudniu pada dużo śniegu.|aralık|Aralık'ta çok kar yağar.
wiosna|zenski|Wiosna to moja ulubiona pora roku.|ilkbahar|İlkbahar en sevdiğim mevsim.
lato|nijaki|Latem jeździmy nad morze.|yaz|Yazın denize gidiyoruz.
jesień|zenski|Jesień w Polsce jest piękna i kolorowa.|sonbahar|Polonya'da sonbahar güzel ve renklidir.
zima|zenski|Zima w Warszawie bywa bardzo mroźna.|kış|Varşova'da kış çok soğuk olabiliyor.
zaczynać|fiil|Zaczynam naukę polskiego od początku.|başlamak|Lehçe öğrenmeye baştan başlıyorum.
opiekować się|fiil|Ona opiekuje się starszymi rodzicami.|bakmak, ilgilenmek|O yaşlı anne-babasına bakıyor.
zajmować się|fiil|Czym się zajmujesz w wolnym czasie?|uğraşmak, ilgilenmek|Boş zamanında ne ile uğraşırsın?
zapominać|fiil|Często zapominam słówek po polsku.|unutmak|Lehçe kelimeleri sık sık unutuyorum.
krótki|sıfat|To jest krótki tekst, łatwy do przeczytania.|kısa|Bu okumak için kolay kısa bir metin.
niski|sıfat|Ten budynek jest bardzo niski.|alçak, kısa (boy)|Bu bina çok alçak.
wysoki|sıfat|On jest bardzo wysoki, ma dwa metry.|yüksek, uzun (boy)|O çok uzun boylu, iki metre.
długi|sıfat|Mieliśmy długą rozmowę przy kawie.|uzun|Kahve başında uzun bir sohbet ettik.
brzeg|meski|Siedzieliśmy na brzegu morza.|kıyı, kenar|Deniz kıyısında oturduk.
pamięć|zenski|Mam dobrą pamięć do języków.|hafıza, bellek|Diller için iyi bir hafızam var.
rzeczy|cogul|Spakuj swoje rzeczy, wyjeżdżamy jutro.|şeyler, eşyalar|Eşyalarını topla, yarın yola çıkıyoruz.
zawsze|zarf|Zawsze piję kawę rano.|her zaman|Sabahları her zaman kahve içerim.
zwykle|zarf|Zwykle chodzę spać o dziesiątej.|genellikle|Genellikle saat onda uyurum.
często|zarf|Często jeżdżę do Warszawy w pracy.|sık sık|İş için sık sık Varşova'ya gidiyorum.
rzadko|zarf|Rzadko oglądam telewizję.|nadiren|Televizyon nadiren izlerim.
nigdy|zarf|Nigdy nie zapominam o ważnych spotkaniach.|hiçbir zaman|Önemli toplantıları hiçbir zaman unutmam.
trudny|sıfat|Ten egzamin był bardzo trudny.|zor|Bu sınav çok zordu.
łatwy|sıfat|To ćwiczenie jest łatwe dla mnie.|kolay|Bu alıştırma benim için kolay.
brudny|sıfat|Te buty są bardzo brudne.|kirli|Bu ayakkabılar çok kirli.
czysty|sıfat|Pranie jest czyste i świeże.|temiz|Çamaşırlar temiz ve taze.
Polska|zenski|Polska leży w sercu Europy.|Polonya|Polonya, Avrupa'nın kalbinde yer alır.
opad|meski|Prognoza zapowiada opady deszczu przez cały tydzień.|yağış|Tahmin tüm hafta boyunca yağmur yağışını bildiriyor.
deszcz|meski|Pada deszcz, weź ze sobą parasolkę.|yağmur|Yağmur yağıyor, şemsiyeni yanına al.
upał|meski|W tym roku lato przyniosło wielki upał.|sıcak hava, kavurucu sıcak|Bu yıl yaz büyük bir sıcak hava getirdi.
cena|zenski|Cena tego mieszkania jest bardzo wysoka.|fiyat|Bu dairenin fiyatı çok yüksek.
żywność|zenski|Ceny żywności wzrosły w ostatnim roku.|gıda, yiyecek|Geçen yıl gıda fiyatları arttı.
środowisko|nijaki|Musimy chronić środowisko naturalne dla przyszłych pokoleń.|çevre|Gelecek nesiller için doğal çevreyi korumalıyız.
park|meski|Codziennie chodzę na spacer do pobliskiego parku.|park|Her gün yakındaki parka yürüyüşe gidiyorum.
legenda|zenski|Legenda o Smoku Wawelskim jest znana w całej Polsce.|efsane|Vavel Ejderi efsanesi tüm Polonya'da bilinir.
wycieczka|zenski|Zorganizowaliśmy wycieczkę szkolną do Krakowa.|gezi, tur|Krakov'a bir okul gezisi düzenledik.
szkoła|zenski|Moja córka chodzi do szkoły podstawowej.|okul|Kızım ilkokula gidiyor.
muzeum|nijaki|Muzeum Narodowe w Warszawie jest bardzo duże.|müze|Varşova'daki Ulusal Müze çok büyük.
technika|zenski|Nowoczesna technika zmienia nasze życie codzienne.|teknik|Modern teknoloji günlük hayatımızı değiştiriyor.
wydarzenie|nijaki|To wydarzenie kulturalne przyciągnęło tysiące ludzi.|etkinlik, olay|Bu kültürel etkinlik binlerce insanı çekti.
atrakcja|zenski|Główną atrakcją miasta jest stary zamek.|cazibe, ilgi çekici yer|Şehrin ana cazibesi eski kaledir.
przeszłość|zenski|Nie można żyć tylko przeszłością, trzeba patrzeć w przyszłość.|geçmiş|Sadece geçmişte yaşanmaz, geleceğe bakmak gerekir.
sposób|meski|Znalazłem nowy sposób na naukę słówek.|yol, yöntem|Kelime öğrenmek için yeni bir yöntem buldum.
internet|meski|Szukam informacji o Polsce w internecie.|internet|İnternette Polonya hakkında bilgi arıyorum.
aplikacja|zenski|Ta aplikacja pomaga mi uczyć się polskiego.|uygulama|Bu uygulama Lehçe öğrenmeme yardımcı oluyor.
rozwiązanie|nijaki|Znaleźliśmy dobre rozwiązanie tego problemu.|çözüm|Bu sorun için iyi bir çözüm bulduk.
cel|meski|Moim celem jest zdanie egzaminu B2 w tym roku.|amaç, hedef|Bu yılki hedefim B2 sınavını geçmek.
dane|cogul|Dane osobowe są chronione przez prawo.|veriler|Kişisel veriler yasa tarafından korunmaktadır.
płeć|zenski|Formularz wymaga podania imienia, nazwiska i płci.|cinsiyet|Form ad, soyad ve cinsiyet bilgisi gerektiriyor.
wzrost|meski|Mój wzrost to metr osiemdziesiąt pięć.|boy, büyüme|Boyum bir metre seksen beş.
waga|zenski|Lekarz sprawdził moją wagę i ciśnienie.|ağırlık, kilo|Doktor kilomu ve tansiyonumu kontrol etti.
urodzenie|nijaki|Data urodzenia jest potrzebna do wypełnienia formularza.|doğum|Doğum tarihi formu doldurmak için gereklidir.
plan|meski|Mam konkretny plan nauki języka polskiego.|plan|Lehçe öğrenmek için somut bir planım var.
żywienie|nijaki|Zdrowe żywienie jest podstawą dobrego samopoczucia.|beslenme|Sağlıklı beslenme iyi hissetmenin temelidir.
ilość|zenski|Proszę podać ilość osób na rezerwację.|miktar|Rezervasyon için kişi sayısını belirtiniz.
woda|zenski|Piję osiem szklanek wody dziennie.|su|Günde sekiz bardak su içiyorum.
wysiłek|meski|Nauka języka wymaga dużego wysiłku i cierpliwości.|çaba, efor|Dil öğrenmek büyük çaba ve sabır gerektirir.
kondycja|zenski|Muszę poprawić swoją kondycję fizyczną.|kondisyon, durum|Fiziksel kondisyonumu geliştirmem gerekiyor.
energia|zenski|Rano mam najwięcej energii do nauki.|enerji|Sabahları öğrenmek için en çok enerjim oluyor.
