pl|g|ex_pl|tr|ex_tr
sprzedaż|meski|Sprzedaż wzrosła w tym miesiącu.|satış|Bu ay satışlar arttı.
użytkownik|meski|Użytkownik może ocenić produkt.|kullanıcı|Kullanıcı ürünü değerlendirebilir.
kapitał|meski|Firma potrzebuje kapitału na rozwój.|sermaye|Şirket gelişmek için sermayeye ihtiyaç duyuyor.
produkcja|meski|Produkcja telefonów wzrosła o dwadzieścia procent.|üretim|Telefon üretimi yüzde yirmi arttı.
rejestracja|meski|Rejestracja w serwisie jest bezpłatna.|kayıt, tescil|Servise kayıt ücretsizdir.
gwarancja|meski|Produkt ma gwarancję na dwa lata.|garanti|Ürünün iki yıl garantisi var.
kryterium|meski|Głównym kryterium jest jakość.|kriter, ölçüt|Temel kriter kalitedir.
podatek|meski|Podatek VAT wynosi dwadzieścia trzy procent.|vergi|KDV yüzde yirmi üçtür.
sieć|meski|Ta sieć sklepów ma sto oddziałów.|ağ, zincir|Bu mağaza zincirinin yüz şubesi var.
smartfon|meski|Kupiłem nowy smartfon wczoraj.|akıllı telefon|Dün yeni bir akıllı telefon aldım.
gotówka|meski|Płacę gotówką, nie mam karty.|nakit|Nakit ödüyorum, kartım yok.
karta|meski|Czy mogę zapłacić kartą?|kart|Kartla ödeyebilir miyim?
oferta|meski|Ta oferta jest bardzo atrakcyjna.|teklif|Bu teklif çok cazip.
zakup|meski|Zrobiłem zakupy w supermarkecie.|satın alma|Süpermarketten alışveriş yaptım.
rynek|meski|Rynek elektroniki rośnie bardzo szybko.|pazar, piyasa|Elektronik pazarı çok hızlı büyüyor.
kupować|fiil|Kupuję ubrania tylko w promocji.|satın almak|Kıyafetleri sadece indirimde alıyorum.
sprawdzić|fiil|Sprawdź cenę przed zakupem.|kontrol etmek|Satın almadan önce fiyatı kontrol et.
skanować|fiil|Skanujemy produkty przy kasie.|taramak|Kasada ürünleri tarayoruz.
uruchamiać|fiil|Uruchamiam aplikację na telefonie.|başlatmak|Telefondaki uygulamayı başlatıyorum.
oceniać|fiil|Oceniamy produkty po zakupie.|değerlendirmek|Satın aldıktan sonra ürünleri değerlendiriyoruz.
kosztować|fiil|Ile kosztuje ten sweter?|mal olmak|Bu kazak ne kadar?
drukować|fiil|Drukuję paragon dla klienta.|yazdırmak, basmak|Müşteri için fiş yazdırıyorum.
oznaczać|fiil|Co oznacza ten symbol?|anlamına gelmek|Bu sembol ne anlama geliyor?
płacić|fiil|Płacę kartą kredytową.|ödemek|Kredi kartıyla ödüyorum.
wyprodukować|fiil|Ta firma wyprodukowała milion telefonów.|üretmek|Bu şirket bir milyon telefon üretti.
zarejestrować się|fiil|Zarejestruj się, aby korzystać z serwisu.|kayıt olmak|Servisten yararlanmak için kayıt ol.
polecać|fiil|Polecam ten sklep wszystkim znajomym.|tavsiye etmek|Bu mağazayı herkese tavsiye ediyorum.
wybierać|fiil|Wybieram produkty ekologiczne.|seçmek|Ekolojik ürünler seçiyorum.
drogi|sifat|Ten zegarek jest zbyt drogi.|pahalı|Bu saat çok pahalı.
tani|sifat|Znalazłam tani lot do Londynu.|ucuz|Londra'ya ucuz bir uçuş buldum.
pomocny|sifat|Ten przewodnik jest bardzo pomocny.|yardımcı, faydalı|Bu rehber çok yardımcıdır.
stacjonarny|sifat|Sklep stacjonarny jest otwarty do osiemnastej.|sabit|Fiziksel mağaza saat on sekize kadar açık.
praktyczny|sifat|To bardzo praktyczne rozwiązanie.|pratik|Bu çok pratik bir çözüm.
całkowicie|zarf|Jestem całkowicie zadowolona z zakupu.|tamamen|Satın almadan tamamen memnunum.
galeria|meski|Nowa galeria sztuki jest otwarta.|galeri|Yeni sanat galerisi açık.
wystawa|meski|Wystawa fotografii trwa do końca miesiąca.|sergi|Fotoğraf sergisi ay sonuna kadar devam ediyor.
przedstawienie|meski|Przedstawienie teatralne było niesamowite.|gösteri, tiyatro oyunu|Tiyatro oyunu harikaydı.
spektakl|meski|Spektakl zaczyna się o dziewiętnastej.|gösteri, oyun|Gösteri saat on dokuzda başlıyor.
seans|meski|Ostatni seans jest o dwudziestej drugiej.|seans|Son seans saat yirmi ikide.
ekran|meski|Siadamy blisko ekranu w kinie.|ekran|Sinemada ekrana yakın oturuyoruz.
pokaz|meski|Pokaz mody odbędzie się jutro.|gösterim|Moda gösterisi yarın yapılacak.
targi|meski|Na targach książki poznałam wielu autorów.|fuar|Kitap fuarında pek çok yazar tanıdım.
miłośnik|meski|Jest miłośnikiem jazzu.|hayran, meraklı|Jazz hayranıdır.
wrażenie|meski|Spektakl zrobił na mnie duże wrażenie.|izlenim|Gösteri beni çok etkiledi.
gatunek|meski|Lubię filmy z gatunku thriller.|tür|Gerilim türü filmleri seviyorum.
tytuł|meski|Nie pamiętam tytułu tej książki.|başlık|Bu kitabın başlığını hatırlamıyorum.
reżyser|meski|Reżyser tego filmu jest znany na całym świecie.|yönetmen|Bu filmin yönetmeni dünyaca ünlüdür.
obraz|meski|Ten obraz wisi w muzeum w Paryżu.|resim, tablo|Bu tablo Paris'teki müzede asılı.
instytucja|meski|Ta instytucja wspiera młodych artystów.|kurum|Bu kurum genç sanatçıları destekliyor.
oglądać|fiil|Oglądam filmy dokumentalne w weekendy.|izlemek, seyretmek|Hafta sonları belgesel filmler izliyorum.
zwiedzać|fiil|Zwiedzamy miasto z przewodnikiem.|gezmek|Şehri rehberle geziyoruz.
słuchać|fiil|Słucham podcastów po polsku.|dinlemek|Lehçe podcast dinliyorum.
uczestniczyć|fiil|Uczestniczę w kursie językowym.|katılmak|Dil kursuna katılıyorum.
prezentować|fiil|Artysta prezentuje swoje prace.|sunmak, sergilemek|Sanatçı eserlerini sergiliyor.
przyciągać|fiil|Ten film przyciąga wielu widzów.|çekmek|Bu film pek çok izleyici çekiyor.
otwierać|fiil|Muzeum otwiera się o dziesiątej.|açmak|Müze saat onda açılıyor.
spacerować|fiil|Lubię spacerować po starym mieście.|yürüyüş yapmak|Eski şehirde yürüyüş yapmayı seviyorum.
grać|fiil|Gra na fortepianie od pięciu lat.|çalmak (müzik), oynamak|Beş yıldır piyano çalıyor.
śpiewać|fiil|Śpiewa w chórze kościelnym.|şarkı söylemek|Kilise korosunda şarkı söylüyor.
klasyczny|sifat|Lubię muzykę klasyczną.|klasik|Klasik müziği seviyorum.
premierowy|sifat|Obejrzałem premierowy pokaz nowego filmu.|ilk gösterim|Yeni filmin gala gösterimini izledim.
kameralny|sifat|Lubię kameralne koncerty jazzowe.|küçük, samimi|Samimi caz konserlerini seviyorum.
niezapomniany|sifat|To był niezapomniany wieczór.|unutulmaz|Unutulmaz bir geceydi.
ciekawy|sifat|To ciekawy pomysł na weekend.|ilginç|Hafta sonu için ilginç bir fikir.
ulubiony|sifat|To mój ulubiony film.|favori, en sevilen|Bu benim favori filmim.
często|zarf|Często chodzę do kina.|sık sık|Sık sık sinemaya gidiyorum.
regularnie|zarf|Regularnie ćwiczę jogę.|düzenli olarak|Düzenli olarak yoga yapıyorum.
podróż|meski|Podróż do Japonii była marzeniem.|seyahat, yolculuk|Japonya'ya seyahat bir hayaldi.
siedzenie|meski|Zarezerwowałem siedzenie przy oknie.|koltuk|Pencere kenarında koltuk rezerve ettim.
stacja|meski|Stacja metra jest blisko.|istasyon|Metro istasyonu yakında.
rozkład|meski|Sprawdź rozkład jazdy autobusów.|tarife|Otobüs tarifesine bak.
opóźnienie|meski|Pociąg ma godzinne opóźnienie.|gecikme, rötar|Trende bir saatlik gecikme var.
wycieczka|meski|Wycieczka do Włoch była niesamowita.|gezi|İtalya'ya gezi harikaydı.
pokład|meski|Na pokładzie samolotu jest sto miejsc.|güverte|Uçağın güvertesinde yüz koltuk var.
linia lotnicza|meski|Ta linia lotnicza jest najtańsza.|havayolu|Bu havayolu en ucuzudur.
stewardessa|meski|Stewardessa przyniosła nam herbatę.|hostes|Hostes bize çay getirdi.
pasażer|meski|Pasażerowie czekają na opóźniony lot.|yolcu|Yolcular gecikmeli uçuşu bekliyor.
droga|meski|Ta droga prowadzi do centrum.|yol|Bu yol merkeze gidiyor.
pobyt|meski|Nasz pobyt w hotelu trwał tydzień.|konaklama, kalış|Otel konaklaması bir hafta sürdü.
transport|meski|Transport publiczny jest tani i wygodny.|ulaşım|Toplu taşıma ucuz ve rahattır.
jezioro|meski|Spędzamy weekend nad jeziorem.|göl|Hafta sonunu gölün başında geçiriyoruz.
wyjazd|meski|Wyjazd zaplanowany jest na piątek.|gezi, yolculuk|Gezi Cuma günü planlandı.
jechać|fiil|Jadę do Warszawy na weekend.|gitmek (araçla)|Hafta sonu Varşova'ya gidiyorum.
lecieć|fiil|Lecimy do Paryża jutro.|uçmak|Yarın Paris'e uçuyoruz.
latać|fiil|Latam służbowo dwa razy w miesiącu.|uçmak (sık sık)|Ayda iki kez iş için uçuyorum.
podróżować|fiil|Lubię podróżować samotnie.|seyahat etmek|Yalnız seyahat etmeyi seviyorum.
odjeżdżać|fiil|Autobus odjeżdża za pięć minut.|kalkmak, hareket etmek|Otobüs beş dakika sonra kalkıyor.
przyjeżdżać|fiil|Przyjeżdżam do rodziny na święta.|gelmek, varmak|Bayramda ailemin yanına geliyorum.
dojechać|fiil|Dojechałem na lotnisko w ostatniej chwili.|ulaşmak|Son dakikada havalimanına ulaştım.
dojść|fiil|Doszliśmy do hotelu pieszo.|yürüyerek ulaşmak|Otele yürüyerek ulaştık.
skręcić|fiil|Skręć w lewo na skrzyżowaniu.|dönmek|Kavşakta sola dön.
odkrywać|fiil|Odkrywam nowe miejsca podczas podróży.|keşfetmek|Seyahatte yeni yerler keşfediyorum.
przeprowadzić się|fiil|Przeprowadziłem się do nowego domu.|taşınmak|Yeni eve taşındım.
wracać|fiil|Wracam do domu po długiej podróży.|dönmek, geri gelmek|Uzun bir yolculuktan sonra eve dönüyorum.
opóźniony|sifat|Nasz lot jest opóźniony o dwie godziny.|gecikmeli|Uçuşumuz iki saat gecikmeli.
podręczny|sifat|Bagaż podręczny może ważyć dziesięć kilogramów.|el (bagajı)|El bagajı on kilo olabilir.
egzotyczny|sifat|Chcę pojechać w egzotyczne miejsce.|egzotik|Egzotik bir yere gitmek istiyorum.
turystyczny|sifat|Centrum turystyczne jest w rynku.|turistik|Turistik merkez çarşıdadır.
powrotny|sifat|Bilet powrotny jest tańszy.|dönüş|Dönüş bileti daha ucuz.
wcześniej|zarf|Wcześniej sprawdź rozkład jazdy.|daha önce|Önceden tarife kontrol et.
posiłek|meski|Staram się jeść trzy posiłki dziennie.|öğün|Günde üç öğün yemeye çalışıyorum.
danie|meski|Poproszę danie dnia.|yemek (tabak)|Günün yemeğini alabilir miyim?
mięso|meski|Nie jem mięsa od roku.|et|Bir yıldır et yemiyorum.
warzywo|meski|Jem dużo warzyw każdego dnia.|sebze|Her gün çok sebze yiyorum.
jajecznica|meski|Na śniadanie zrobiłem jajecznicę.|sahanda yumurta|Kahvaltıda sahanda yumurta yaptım.
boczek|meski|Boczek z jajkami to klasyka.|pastırma|Pastırmalı yumurta klasiktir.
wędlina|meski|Kupuję wędlinę w lokalnym sklepie.|şarküteri, salam|Şarküteri ürünlerini yerel mağazadan alıyorum.
drożdżówka|meski|Kupuję drożdżówkę w piekarni co rano.|mayalı pasta|Her sabah fırından mayalı pasta alıyorum.
żywność|meski|Ceny żywności rosną każdego roku.|gıda|Gıda fiyatları her yıl artıyor.
witamina|meski|Biorę witaminę C w zimie.|vitamin|Kışın C vitamini alıyorum.
słodycze|meski|Ograniczam słodycze dla zdrowia.|tatlılar, şekerlemeler|Sağlık için tatlıları kısıtlıyorum.
stół|meski|Rezerwuję stolik na dwie osoby.|masa|İki kişilik masa rezervasyonu yapıyorum.
jeść|fiil|Jem śniadanie każdego ranka.|yemek yemek|Her sabah kahvaltı yiyorum.
pić|fiil|Piję dużo wody w ciągu dnia.|içmek|Gün içinde çok su içiyorum.
gotować|fiil|Gotuję obiad dla całej rodziny.|pişirmek|Tüm aile için öğle yemeği pişiriyorum.
smakować|fiil|Ta zupa bardzo mi smakuje.|tadı olmak|Bu çorba çok lezzetli.
zamawiać|fiil|Zamawiam jedzenie przez internet.|sipariş etmek|Yemek internetten sipariş ediyorum.
komponować|fiil|Lubię komponować własne sałatki.|oluşturmak|Kendi salatalarımı oluşturmayı seviyorum.
zdrowy|sifat|Staram się jeść zdrowo.|sağlıklı|Sağlıklı yemeye çalışıyorum.
bezglutenowy|sifat|Kupuję chleb bezglutenowy.|glutensiz|Glutensiz ekmek alıyorum.
warzywny|sifat|Zamówiłam zupę warzywną.|sebzeli|Sebze çorbası sipariş ettim.
tłusty|sifat|Unikam tłustych potraw.|yağlı|Yağlı yemeklerden kaçınıyorum.
ciepły|sifat|Lubię ciepłe zupy w zimie.|sıcak, ılık|Kışın sıcak çorba seviyorum.
wyśmienity|sifat|Obiad był wyśmienity.|leziz, mükemmel|Öğle yemeği harikaydı.
okulista|meski|Zapisałam się do okulisty.|göz doktoru|Göz doktoruna randevu aldım.
gabinet|meski|Poczekaj w gabinecie lekarskim.|muayenehane|Doktor muayenehanesinde bekle.
wizyta|meski|Mam wizytę u dentysty.|ziyaret, muayene|Dişçide randevum var.
badanie|meski|Wyniki badania są w normie.|muayene, inceleme|Muayene sonuçları normal.
wzrok|meski|Mój wzrok się pogorszył.|görme, görüş|Görme gücüm zayıfladı.
choroba|meski|Ta choroba jest bardzo zaraźliwa.|hastalık|Bu hastalık çok bulaşıcı.
lek|meski|Biorę lek na ciśnienie.|ilaç|Tansiyon için ilaç alıyorum.
gorączka|meski|Mam gorączkę od wczoraj.|ateş|Dünden beri ateşim var.
dreszcze|meski|Mam dreszcze i gorączkę.|titreme|Titriyorum ve ateşim var.
ciśnienie|meski|Mam wysokie ciśnienie krwi.|tansiyon, basınç|Yüksek tansiyonum var.
ochłodzenie|meski|Ochłodzenie może wywołać przeziębienie.|soğuma|Soğuma nezleye yol açabilir.
diagnoza|meski|Diagnoza lekarza jest poważna.|teşhis, tanı|Doktorun teşhisi ciddi.
kontuzja|meski|Doznałem kontuzji podczas meczu.|sakatlık|Maç sırasında sakatlık geçirdim.
organizm|meski|Organizm potrzebuje odpoczynku.|organizma, vücut|Vücut dinlenmeye ihtiyaç duyuyor.
minerał|meski|Woda mineralna zawiera wiele minerałów.|mineral|Maden suyu pek çok mineral içerir.
zachorować|fiil|Zachorowałam na grypę w zimie.|hastalanmak|Kışın grip oldum.
leczyć|fiil|Leczę przeziębienie herbatą z cytryną.|tedavi etmek|Nezleyi limonlu çayla tedavi ediyorum.
odpoczywać|fiil|Odpoczywam w weekend.|dinlenmek|Hafta sonu dinleniyorum.
diagnozować|fiil|Lekarz diagnozuje chorobę.|teşhis koymak|Doktor hastalığı teşhis ediyor.
przyjmować|fiil|Przyjmuję pacjentów do osiemnastej.|kabul etmek|Saat on sekize kadar hasta kabul ediyorum.
zażywać|fiil|Zażywam leki dwa razy dziennie.|almak (ilaç)|İlaçları günde iki kez alıyorum.
boleć|fiil|Boli mnie głowa od rana.|ağrımak|Sabahtan beri başım ağrıyor.
przeciwgorączkowy|sifat|Wziąłem lek przeciwgorączkowy.|ateş düşürücü|Ateş düşürücü ilaç aldım.
nieczynny|sifat|Gabinet jest nieczynny w weekendy.|kapalı, çalışmıyor|Muayenehane hafta sonları kapalı.
komputerowy|sifat|Mam problem z komputerowym systemem.|bilgisayarlı|Bilgisayar sistemiyle ilgili sorunum var.
chory|sifat|Jestem chory i zostaję w domu.|hasta|Hastayım ve evde kalıyorum.
nagle|zarf|Nagle poczułem silny ból.|aniden, birdenbire|Aniden şiddetli bir ağrı hissettim.
zawód|meski|Mój zawód to inżynier.|meslek|Mesleğim mühendis.
pracownik|meski|Pracownik firmy dostał awans.|çalışan|Şirket çalışanı terfi aldı.
pracodawca|meski|Pracodawca oferuje dobre warunki.|işveren|İşveren iyi koşullar sunuyor.
rekrutacja|meski|Rekrutacja na to stanowisko trwa.|işe alım|Bu pozisyon için işe alım sürüyor.
rozmowa kwalifikacyjna|meski|Mam rozmowę kwalifikacyjną jutro.|iş görüşmesi|Yarın iş görüşmem var.
umowa|meski|Podpisałem umowę o pracę.|sözleşme|İş sözleşmesi imzaladım.
ogłoszenie|meski|Znalazłem ogłoszenie o pracę w internecie.|ilan|İnternette iş ilanı buldum.
wykształcenie|meski|Mam wyższe wykształcenie techniczne.|eğitim|Teknik yükseköğrenim diplomam var.
znajomość|meski|Znajomość języków obcych jest wymagana.|bilgi, yeterlilik|Yabancı dil bilgisi gereklidir.
umiejętność|meski|Umiejętność pracy w zespole jest ważna.|beceri, yetenek|Ekip çalışması becerisi önemlidir.
doświadczenie|meski|Mam pięcioletnie doświadczenie w tej branży.|deneyim|Bu sektörde beş yıllık deneyimim var.
organizacja|meski|Dobra organizacja pracy jest kluczowa.|organizasyon|İyi iş organizasyonu çok önemlidir.
punktualność|meski|Punktualność jest bardzo ważna w pracy.|dakiklik|Dakiklik iş yerinde çok önemlidir.
komunikatywność|meski|Komunikatywność to ważna cecha pracownika.|iletişim becerisi|İletişim becerisi önemli bir çalışan özelliğidir.
warunki|meski|Warunki pracy są bardzo dobre.|koşullar, şartlar|Çalışma koşulları çok iyi.
zatrudnienie|meski|Zatrudnienie w tej firmie to przywilej.|istihdam|Bu şirkette istihdam bir ayrıcalıktır.
koszt|meski|Koszt utrzymania w Warszawie jest wysoki.|maliyet|Varşova'da yaşam maliyeti yüksektir.
hydraulik|meski|Wezwałem hydraulika do naprawy rury.|tesisatçı|Boruyu tamir için tesisatçı çağırdım.
elektryk|meski|Elektryk naprawił instalację elektryczną.|elektrikçi|Elektrikçi elektrik tesisatını tamir etti.
muzyk|meski|Muzyk gra w orkiestrze.|müzisyen|Müzisyen orkestrada çalıyor.
programista|meski|Programista pisze kod do aplikacji.|programcı|Programcı uygulama için kod yazıyor.
list motywacyjny|meski|Napisałem list motywacyjny do firmy.|motivasyon mektubu|Şirkete motivasyon mektubu yazdım.
pracować|fiil|Pracuję w korporacji od pięciu lat.|çalışmak|Beş yıldır bir şirkette çalışıyorum.
zatrudnić|fiil|Firma zatrudniła nowych pracowników.|işe almak|Şirket yeni çalışanlar işe aldı.
zwolnić|fiil|Zwolniono go z powodu restrukturyzacji.|işten çıkarmak|Yeniden yapılanma nedeniyle işten çıkarıldı.
zastąpić|fiil|Zastąpiłem kolegę podczas jego urlopu.|yerine geçmek|İzninde meslektaşımın yerine geçtim.
wymagać|fiil|To stanowisko wymaga doświadczenia.|gerektirmek|Bu pozisyon deneyim gerektiriyor.
spełniać|fiil|Spełniam wszystkie wymagania.|yerine getirmek|Tüm gereksinimleri karşılıyorum.
podpisać|fiil|Podpisałem umowę o pracę.|imzalamak|İş sözleşmesini imzaladım.
postanowić|fiil|Postanowiłem zmienić pracę.|karar vermek|İş değiştirmeye karar verdim.
spróbować|fiil|Spróbuję wysłać CV do tej firmy.|denemek|Bu şirkete CV göndermeyi deneyeceğim.
zrezygnować|fiil|Zrezygnowałem z pracy w korporacji.|vazgeçmek|Şirketteki işten vazgeçtim.
opłacać się|fiil|Inwestowanie w edukację zawsze się opłaca.|kârlı olmak|Eğitime yatırım her zaman kârlıdır.
proponować|fiil|Proponuję wyższe wynagrodzenie.|teklif etmek|Daha yüksek maaş teklif ediyorum.
efektywny|sifat|Szukamy efektywnych rozwiązań.|verimli, etkili|Verimli çözümler arıyoruz.
biegły|sifat|Jest biegły w języku angielskim.|akıcı, uzman|İngilizcede akıcıdır.
zawodowy|sifat|Rozwijam swoje umiejętności zawodowe.|mesleki|Mesleki becerilerimi geliştiriyorum.
lotniczy|sifat|Pracuję w przemyśle lotniczym.|havacılık|Havacılık sektöründe çalışıyorum.
finansowy|sifat|Analizuję sytuację finansową firmy.|finansal|Şirketin mali durumunu analiz ediyorum.
sztuczna inteligencja|meski|Sztuczna inteligencja zmienia rynek pracy.|yapay zeka|Yapay zeka iş piyasasını değiştiriyor.
maszyna|meski|Ta maszyna produkuje tysiąc sztuk dziennie.|makine|Bu makine günde bin adet üretiyor.
algorytm|meski|Algorytm analizuje dane użytkowników.|algoritma|Algoritma kullanıcı verilerini analiz ediyor.
serwis|meski|Oddałem telefon do serwisu.|servis, tamir|Telefonu servise verdim.
płyta główna|meski|Płyta główna komputera jest uszkodzona.|anakart|Bilgisayarın anakartı bozulmuş.
technologia|meski|Technologia zmienia nasze życie.|teknoloji|Teknoloji hayatımızı değiştiriyor.
analityk|meski|Pracuję jako analityk danych.|analist|Veri analisti olarak çalışıyorum.
możliwość|meski|Mam możliwość pracy zdalnej.|olanak, imkân|Uzaktan çalışma imkânım var.
porównanie|meski|W porównaniu z zeszłym rokiem wyniki są lepsze.|karşılaştırma|Geçen yılla karşılaştırıldığında sonuçlar daha iyi.
zastępować|fiil|Sztuczna inteligencja zastępuje niektóre zawody.|yerine geçmek|Yapay zeka bazı mesleklerin yerini alıyor.
korzystać|fiil|Korzystam z aplikacji do nauki języków.|kullanmak, yararlanmak|Dil öğrenme uygulamasını kullanıyorum.
działać|fiil|Program nie działa prawidłowo.|çalışmak, işlemek|Program düzgün çalışmıyor.
tworzyć|fiil|Tworzę aplikacje mobilne.|oluşturmak, yaratmak|Mobil uygulamalar geliştiriyorum.
włączyć|fiil|Włącz komputer i zaloguj się.|açmak|Bilgisayarı aç ve giriş yap.
wyłączyć|fiil|Wyłącz telefon przed spotkaniem.|kapatmak|Toplantıdan önce telefonu kapat.
używać|fiil|Używam tego programu codziennie.|kullanmak|Bu programı her gün kullanıyorum.
naprawić|fiil|Naprawię błąd w kodzie.|tamir etmek|Koddaki hatayı düzelteceğim.
sztuczny|sifat|Sztuczna inteligencja uczy się sama.|yapay|Yapay zeka kendi kendine öğreniyor.
cyfrowy|sifat|Żyjemy w cyfrowym świecie.|dijital|Dijital bir dünyada yaşıyoruz.
elektroniczny|sifat|Podpis elektroniczny jest prawnie wiążący.|elektronik|Elektronik imza hukuken bağlayıcıdır.
coraz częściej|zarf|Coraz częściej pracujemy zdalnie.|giderek daha sık|Giderek daha sık uzaktan çalışıyoruz.
trening|meski|Mam trening o szóstej rano.|antrenman|Sabah altıda antrenmanım var.
trener|meski|Mój trener układa plan treningowy.|antrenör|Antrenörüm antrenman planı hazırlıyor.
bieganie|meski|Bieganie to moja pasja.|koşu|Koşu benim tutkum.
kondycja|meski|Ćwiczę, żeby poprawić kondycję.|kondisyon|Kondisyonumu geliştirmek için egzersiz yapıyorum.
mięsień|meski|Po treningu bolą mnie mięśnie.|kas|Antrenman sonrası kaslarım ağrıyor.
rozgrzewka|meski|Zawsze robię rozgrzewkę przed treningiem.|ısınma|Antrenman öncesi her zaman ısınma yapıyorum.
rozciąganie|meski|Rozciąganie zapobiega kontuzjom.|esneme|Esneme sakatlıkları önler.
marsz|meski|Marsz nordycki jest dobry dla kręgosłupa.|yürüyüş|Nordic yürüyüş omurga için iyidir.
zawody|meski|Zawody pływackie odbędą się w sobotę.|yarışma|Yüzme yarışması Cumartesi yapılacak.
bramkarz|meski|Bramkarz obronił rzut karny.|kaleci|Kaleci penaltıyı kurtardı.
siatkarz|meski|Ten siatkarz jest reprezentantem Polski.|voleybolcu|Bu voleybolcu Polonya milli takımında.
forma|meski|Jest w świetnej formie przed zawodami.|form|Yarışmadan önce harika formda.
ruch|meski|Regularny ruch jest zdrowy.|hareket|Düzenli hareket sağlıklıdır.
powietrze|meski|Świeże powietrze dobrze robi.|hava|Taze hava iyi gelir.
kijki|meski|Chodzę z kijkami do nordic walking.|sopalar (yürüyüş)|Nordic walking için sopalarla yürüyorum.
biegać|fiil|Biegam pięć kilometrów każdego ranka.|koşmak|Her sabah beş kilometre koşuyorum.
ćwiczyć|fiil|Ćwiczę jogę trzy razy w tygodniu.|egzersiz yapmak|Haftada üç kez yoga yapıyorum.
